# AEPS activesites empty dreg res wall sort-hits sort-misses sort-total
1 15360 15235 57 1 0 0 0 0
105 15360 14584 53 85 0 0 0 0
203 15360 14007 58 70 0 0 0 0
302 15360 13448 63 41 0 0 0 0
401 15360 12871 65 28 0 0 0 0
504 15360 12258 66 23 0 0 0 0
605 15360 11694 65 16 0 0 43 43
704 15360 11288 66 12 0 1 104 105
803 15360 10899 74 8 0 11 176 187
901 15360 10705 73 13 0 56 236 292
1001 15360 10568 71 11 0 55 318 373
1106 15360 10522 70 11 0 75 406 481
1204 15360 10490 74 9 0 70 432 502
1303 15360 10510 75 2 0 117 477 594
1402 15360 10540 86 4 0 113 467 580
1501 15360 10701 83 6 0 115 512 627
1605 15360 10765 83 8 0 108 502 610
1704 15360 10845 85 6 0 100 486 586
1803 15360 10742 77 3 0 128 311 439
1903 15360 10692 77 5 0 126 336 462
2001 15360 10721 80 7 0 145 398 543
2105 15360 10756 79 2 0 115 411 526
2205 15360 10704 82 6 0 115 357 472
2305 15360 10719 80 3 0 97 351 448
2406 15360 10564 81 4 0 80 276 356
2505 15360 10435 82 3 0 87 303 390
2604 15360 10388 74 1 0 116 365 481
2704 15360 10366 83 3 0 101 353 454
2802 15360 10340 84 7 0 81 358 439
2902 15360 10273 89 3 0 101 300 401
3002 15360 10259 86 5 0 86 332 418
3101 15360 10141 80 3 0 81 305 386
3201 15360 10051 80 3 0 68 335 403
3301 15360 10002 82 2 0 82 319 401
3404 15360 9927 83 2 0 81 328 409
3504 15360 9878 86 2 0 88 327 415
3604 15360 9835 84 2 0 114 340 454
3704 15360 9762 83 2 0 86 293 379
3803 15360 9695 87 2 0 87 309 396
3902 15360 9641 89 3 0 98 310 408
4001 15360 9632 91 5 0 111 296 407
4105 15360 9503 91 4 0 71 304 375
4204 15360 9423 91 5 0 103 286 389
4302 15360 9395 90 4 0 110 314 424
4401 15360 9421 94 5 0 105 288 393
4502 15360 9305 101 1 0 89 268 357
4601 15360 9278 103 4 0 99 284 383
4701 15360 9194 107 6 0 93 273 366
4805 15360 9203 100 1 0 93 264 357
4905 15360 9194 98 1 0 87 264 351
5005 15360 9106 96 3 0 66 248 314
5104 15360 9116 97 1 0 92 281 373
5204 15360 9036 98 2 0 86 287 373
5303 15360 9034 101 5 0 105 287 392
5401 15360 9015 100 1 0 89 274 363
5505 15360 8968 98 7 0 91 263 354
5605 15360 8982 100 1 0 102 282 384
5705 15360 9007 97 0 0 97 308 405
5805 15360 9018 97 2 0 85 273 358
5903 15360 8919 98 1 0 74 252 326
6001 15360 8920 98 2 0 61 292 353
6104 15360 8919 98 0 0 85 243 328
6204 15360 8934 97 1 0 82 281 363
6304 15360 8912 94 1 0 87 283 370
6403 15360 8924 90 2 0 86 293 379
6501 15360 8931 85 2 0 85 284 369
6601 15360 8917 82 3 0 89 275 364
6705 15360 9000 86 2 0 80 312 392
6803 15360 9025 90 2 0 81 239 320
6903 15360 8964 91 2 0 86 282 368
7001 15360 8973 96 3 0 80 306 386
7106 15360 8980 95 4 0 103 303 406
7204 15360 8988 93 3 0 78 272 350
7304 15360 9023 93 2 0 71 274 345
7404 15360 8938 90 2 0 73 255 328
7502 15360 8884 93 5 0 73 302 375
7601 15360 8871 95 3 0 115 287 402
7705 15360 8888 93 2 0 100 307 407
7805 15360 8906 92 2 0 77 286 363
7903 15360 8795 99 3 0 64 283 347
8003 15360 8809 101 2 0 81 307 388
8103 15360 8876 94 2 0 90 298 388
8202 15360 8872 98 2 0 89 239 328
8301 15360 8853 107 1 0 85 241 326
8401 15360 8833 104 3 0 108 263 371
8505 15360 8828 105 1 0 95 306 401
8604 15360 8835 102 2 0 91 251 342
8704 15360 8794 100 3 0 82 277 359
8803 15360 8798 102 3 0 101 290 391
8903 15360 8809 106 3 0 96 299 395
9001 15360 8842 116 4 0 74 274 348
9102 15360 8847 117 4 0 66 290 356
9201 15360 8858 115 2 0 79 318 397
9305 15360 8848 121 5 0 56 287 343
9405 15360 8831 119 0 0 80 281 361
9504 15360 8873 117 0 0 66 314 380
9603 15360 8871 115 6 0 74 272 346
9702 15360 8807 109 1 0 80 269 349
9801 15360 8777 111 2 0 72 299 371
9906 15360 8809 114 3 0 94 289 383
10005 15360 8821 109 3 0 83 260 343
10104 15360 8880 104 3 0 71 288 359
10203 15360 8909 104 1 0 63 303 366
10302 15360 8958 104 4 0 64 288 352
10402 15360 8951 105 3 0 73 249 322
